Buchtitel,Themen,Link
BIM-Datenmanagement in Theorie und Praxis (2. Auflage),BIM-Methodik; Datenmanagement; IFC4.3; LOIN; BIM-Objekte; Modellqualität,https://buildingsmart-verlag.de/produkt/bim-datenmanagement-in-theorie-und-praxis-2-auflage/
BIM-Glossar,Fachbegriffe; BIM-Grundlagen; Informationsmanagement; Objektorientierung; BIM-Methodik,https://buildingsmart-verlag.de/produkt/bim-glossar/
BIM in der Geotechnik,Geotechnik; Baugrund; Modellstrukturen; BIM-Methodik; Fachübergreifende Zusammenarbeit,https://buildingsmart-verlag.de/produkt/bim-in-der-geotechnik/
PIM for BIM,Product Information Management; PIM; Stammdaten; Produktdaten; Digital Built Environment; BIM-Prozesse,https://buildingsmart-verlag.de/produkt/pim-for-bim/
Basiswissen zu Auftraggeber-Informationsanforderungen (AIA),AIA; Informationsanforderungen; BIM-Ziele; Anwendungsfälle; Projektabwicklung; Datenanforderungen,https://buildingsmart-verlag.de/produkt/basiswissen-zu-auftraggeber-informationsanforderungen-aia/
Der Baugrund als digitaler Zwilling,Baugrund; Digitaler Zwilling; Baugrundsicherheit; Landschaftsarchitektur; Vermessungstechnik; Grundlagenermittlung,https://buildingsmart-verlag.de/produkt/der-baugrund-als-digitaler-zwilling/
BIM und KI in Wissenschaft und Unternehmenspraxis,BIM; KI; Künstliche Intelligenz; Digitalisierung; Digitale Geschäftsmodelle; IoT; E-Commerce,https://buildingsmart-verlag.de/produkt/bim-und-ki-wissenschaft-und-unternehmenspraxis/
Implementierung von BIM im Architektur- und Ingenieurbüro,BIM-Implementierung; Change-Management; BIM-Strategie; Büropraxis; Normen; Projekterfolg,https://buildingsmart-verlag.de/produkt/implementierung-von-bim-im-architektur-und-ingenieurbuero/
BIM und Lean Management in der Praxis,BIM; Lean Management; Prozessoptimierung; Nachhaltigkeit; Kostenreduzierung; Bauprozess,https://buildingsmart-verlag.de/produkt/bim-und-lean-management-in-der-praxis/
BIM mit VOB & AVA für Errichter und Betreiber,BIM; VOB; AVA; Vergabe; Abrechnung; Bauprozess; Dokumentation; PIM; Kostenkontrolle,https://buildingsmart-verlag.de/produkt/bim-mit-vob-ava-fuer-errichter-und-betreiber/
Nachhaltige Stoffkreisläufe durch BIM,Nachhaltigkeit; Kreislaufwirtschaft; CO2-Emissionen; Lebenszyklusphasen; Umweltschutz; BIM-Methodik,https://buildingsmart-verlag.de/produkt/nachhaltige-stoffkreislaeufe-durch-bim/
